TenureGroup,用户数,流失率,平均订单数,平均优惠券使用次数,平均返现,平均满意度,平均距上次下单天数
1-6个月,1642,0.25883069427527405,2.6839220462850184,1.7405602923264312,164.87205846528622,3.0907429963459196,4.046894031668697
13-24个月,1467,0.06475800954328562,3.704839809134288,2.0156782549420584,204.91599182004092,3.087934560327198,5.316973415132924
7-12个月,1584,0.09848484848484848,2.7474747474747474,1.595959595959596,163.3139393939394,2.98989898989899,4.381944444444445
两年以上老用户,429,0.0,3.5454545454545454,1.944055944055944,222.3400233100233,3.0536130536130535,5.256410256410256
新用户,508,0.5354330708661418,1.889763779527559,0.9625984251968503,142.44257874015747,3.1791338582677167,2.8838582677165356
